strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
JU2106	43.606266	0.239824	compost heap	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Frechendets (Hautes Pyrenees)
JU2131	48.0497	-4.705	rotting Heracleum stem	2011-08-09	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Baie des Trepasses (Finistere), France
JU2139	46.63278	1.064289	rotting acorns sampled in woods	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2141	46.63278	1.064289	rotting walnuts (outer layer)	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2151	49.12604	1.95114	rotting Heracleum stem S173	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU2234	47.227	-1.583	rotten plum	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nantes, France
JU2250	48.285278	-1.891389	apple	2012-11-15	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cardroc (Ile et Vilaine, France)
JU2257	46.63278	1.064289	compost (in container) sampled in the garden in le Blan	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2287	46.63278	1.064289	compost (in container) sampled in the garden in le Blan	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2316	38.7175	-9.1486	Isolated from rotten Ficus macrophylla fruits; botanical gardens	2013-08-25	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU2460	48.6934	-3.9251	rotting cabbage leaves	2002-12-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ile Callot (Finistere, France)
JU2461	-12.801653	-69.289488	rotting carambola	2013-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Madre de Dios (Peru)
JU2464	-13.155	-72.525	fleshy fruit; rotten berry?	2013-01-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Aguas Calientes, Peru
JU2466	-13.257	-72.266	lemon	2013-01-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ollantaytambo, Peru
JU2467	-13.155	-72.525	fleshy fruit; rotten berry?	2013-01-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Aguas Calientes, Peru
JU2468	-13.155	-72.525	fleshy fruit; rotten berry?	2013-01-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Aguas Calientes, Peru
JU2478	50.85	4.351	Denis Thieffry's compost heap	2013-02-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Brussels, Belgium
JU2513	38.26016	22.0736	rotting orange	2009-07-06	NA	NA	#ERROR!	#ERROR!	#ERROR!	Aigio, Greece
JU2519	38.7175	-9.1486	Isolated from rotten Ficus isophlebia fruits; botanical gardens	2013-08-25	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU2522	38.7175	-9.1486	Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae); botanical gardens	2013-08-25	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU2526	38.7175	-9.1486	Isolated from rotten fruits of Chrysophyllum imperiale; botanical gardens	2013-08-25	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU2527	47.8797	-3.5999	rotten apples	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Mellac (Finistere), France
JU2534	49.357921	0.097087	cherry	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	NA
JU2565	44.958394	1.066213	rotting figs	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Perigord, France
JU2566	48.83886	2.44599	rotting Gunnera stems in the Parc Floral	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Vincennes, France
JU2570	46.2657	-0.2685	rotting walnuts	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Niort, Mougon, Deux Sevres, France
JU2572	48.81257	2.395372	rotting Petasites stems	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ivry (Val-de-Marne), Franc
JU2574	8.4	76.975	solated from rotting stems (banana stems?)	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Kovalam (Kerala, India)
JU2575	49.0857	3.0707	rotting Heracleum stem	2013-10-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Crouy-sur-Ourcq (Seine-et-Marne), France
JU2576	49.0861	3.072	rotting stem	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Crouy-sur-Ourcq (Seine-et-Marne), France
JU2578	48.87613	2.4315	compost in the jardin partage in Bagnolet	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bagnolet (Seine-Sainte-Denis), France
JU258	32.73	-16.89	along a path through an orchard	2001-10-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Ribeiro Frio, Madeira
JU2581	46.63278	1.064289	pears sampled in the garden in Le Blanc	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2586	48.497005	2.159459	rotting pear	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Chatou (Yvelines, France)
JU2587	45.026713	3.872016	compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Vals-pres-Le-Puy (Haute-Loire), France
JU2592	48.628558	-2.403836	rotting peach	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Plurien (Cotes d'Armor, France)
JU2593	48.822556	2.222334	compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Hauts de Seine, France
JU2600	49.1242	1.9496	rotting apple across the river from the station	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santeuil(Val d'Oise), France,
JU2604	49.16477	1.86175	rotting walnut	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nucourt (Val d'Oise), France.
JU2605	49.166	1.86	rotting apple	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nucourt (Val d'Oise), France.
JU2610	49.1075	1.7915	rotting apple	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Arthies and Wy-di-tJoli-Village (Val d'Oise), France
JU2611	43.8658	5.0628	rotting apple (same apple as JU2616)	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	South of Isle-sur-Sorgue (Vaucluse), France
JU2619	NA	NA	compost	2014-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Arizona
JU2771	47.410058	0.991728	rotting stems sampled in the park of Chateau du Clos Luce	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Amboise, Indre-et-Loire, France
JU2800	NA	NA	rotting pear	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cachan, France
JU2802	48.9067	2.14167	rotting rhubarb stems in a private garden of Montesson	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Yvelines, France
JU2811	-33.8632	151.219453	rotting ficus fruit collected in the Royal Botanical Garden, Sydney	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Sydney, Australia
JU2825	48.8092	2.3862	otting Petasites stem	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ivry-sur-Seine (Val de Marne)
